                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.57848,                 0.3801,                0.90106,                0.94817,                0.80707,                0.89253,                0.49361,                      0,                    inf,                      0,               0.004885,               0.004885,               0.004885
                     64,                0.60618,                0.40016,                0.92155,                0.92437,                0.71894,                0.83843,                0.49176,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                     65,                0.57796,                0.38717,                0.90737,                0.96901,                0.76471,                0.89598,                0.52038,                      0,                    inf,                      0,                0.00472,                0.00472,                0.00472
                     66,                0.55548,                0.36985,                0.88973,                0.93091,                0.79256,                0.87388,                0.53604,                      0,                    inf,                      0,              0.0046375,              0.0046375,              0.0046375
                     67,                0.55834,                0.35997,                0.89104,                0.95129,                0.86161,                0.91857,                0.51028,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     68,                0.56119,                0.37089,                 0.8912,                0.90618,                0.85225,                0.90119,                0.50278,                      0,                    inf,                      0,              0.0044725,              0.0044725,              0.0044725
                     69,                0.56637,                0.36336,                0.88898,                0.92071,                0.85386,                0.89582,                0.51341,                      0,                    inf,                      0,                0.00439,                0.00439,                0.00439
                     70,                0.53347,                0.35028,                0.88656,                0.93285,                0.85294,                 0.8955,                0.52458,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
                     71,                0.55158,                0.35921,                0.89531,                0.89197,                0.83824,                0.88587,                0.53768,                      0,                    inf,                      0,               0.004225,               0.004225,               0.004225
                     72,                 0.5365,                0.35353,                0.88827,                0.89948,                0.78959,                 0.8752,                0.53474,                      0,                    inf,                      0,              0.0041425,              0.0041425,              0.0041425
                     73,                0.52905,                0.34375,                0.87866,                0.89848,                0.82353,                0.89597,                0.52717,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     74,                0.52333,                0.35383,                 0.8873,                0.89041,                0.86765,                0.91539,                0.54192,                      0,                    inf,                      0,              0.0039775,              0.0039775,              0.0039775
                     75,                0.49841,                 0.3414,                0.87772,                 0.8976,                0.86765,                0.91629,                0.53887,                      0,                    inf,                      0,               0.003895,               0.003895,               0.003895
                     76,                 0.5147,                0.34278,                0.88972,                0.85693,                0.80882,                0.88046,                0.52057,                      0,                    inf,                      0,              0.0038125,              0.0038125,              0.0038125
                     77,                0.49403,                 0.3269,                0.87428,                0.87322,                0.79412,                0.89319,                0.53412,                      0,                    inf,                      0,                0.00373,                0.00373,                0.00373
                     78,                0.48972,                0.33011,                0.86904,                0.89449,                0.83824,                0.87716,                0.52705,                      0,                    inf,                      0,              0.0036475,              0.0036475,              0.0036475
                     79,                0.49154,                0.34488,                0.87672,                0.93372,                0.82871,                0.90347,                 0.5384,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     80,                0.50136,                0.33191,                0.88392,                0.88471,                0.83824,                 0.9087,                0.53995,                      0,                    inf,                      0,              0.0034825,              0.0034825,              0.0034825
                     81,                0.48076,                 0.3225,                0.87017,                0.85832,                0.80186,                0.87065,                 0.5447,                      0,                    inf,                      0,                 0.0034,                 0.0034,                 0.0034
                     82,                0.48297,                0.32838,                0.86349,                0.88546,                   0.75,                0.83756,                0.50621,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
                     83,                0.47848,                0.32926,                0.87002,                 0.8659,                0.75972,                0.86642,                0.50657,                      0,                    inf,                      0,               0.003235,               0.003235,               0.003235
                     84,                  0.456,                0.31064,                 0.8563,                0.90741,                0.79412,                0.89521,                0.52433,                      0,                    inf,                      0,              0.0031525,              0.0031525,              0.0031525
                     85,                0.45381,                0.31712,                0.85476,                0.91361,                0.77759,                 0.8792,                0.52593,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     86,                0.45908,                0.30947,                0.86437,                0.87453,                0.82006,                0.89792,                0.53615,                      0,                    inf,                      0,              0.0029875,              0.0029875,              0.0029875
                     87,                 0.4461,                0.30994,                 0.8551,                0.94029,                0.77941,                0.89762,                0.53397,                      0,                    inf,                      0,               0.002905,               0.002905,               0.002905
                     88,                0.43866,                0.30056,                0.86491,                0.88832,                0.83824,                 0.8939,                 0.5219,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                     89,                0.42843,                0.29321,                0.84915,                0.89541,                0.88132,                0.91925,                0.55996,                      0,                    inf,                      0,                0.00274,                0.00274,                0.00274
                     90,                0.43668,                0.29422,                0.86518,                0.93131,                0.79763,                0.92206,                0.56555,                      0,                    inf,                      0,              0.0026575,              0.0026575,              0.0026575
                     91,                 0.4261,                0.28384,                0.86371,                 0.9252,                0.79412,                0.91065,                0.56016,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     92,                0.43603,                0.29391,                0.85223,                0.87717,                0.84015,                0.90729,                0.53744,                      0,                    inf,                      0,              0.0024925,              0.0024925,              0.0024925
                     93,                0.40617,                0.28407,                0.84664,                0.89175,                0.80882,                0.89065,                0.54649,                      0,                    inf,                      0,                0.00241,                0.00241,                0.00241
                     94,                0.41096,                0.28786,                 0.8517,                0.92887,                0.76822,                0.87746,                0.52823,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
                     95,                0.40175,                0.28077,                0.84912,                0.96551,                0.82335,                0.90538,                 0.5437,                      0,                    inf,                      0,               0.002245,               0.002245,               0.002245
                     96,                 0.3963,                0.27548,                0.84226,                0.92728,                0.85294,                0.90217,                0.54616,                      0,                    inf,                      0,              0.0021625,              0.0021625,              0.0021625
                     97,                0.38711,                0.27302,                0.83673,                0.94796,                0.86765,                 0.9012,                0.53378,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     98,                0.38215,                0.26641,                0.83944,                0.91786,                0.85294,                0.88751,                 0.5265,                      0,                    inf,                      0,              0.0019975,              0.0019975,              0.0019975
                     99,                0.38837,                0.27163,                0.84824,                0.93075,                0.79062,                0.88681,                0.54112,                      0,                    inf,                      0,               0.001915,               0.001915,               0.001915
                    100,                0.40245,                0.27306,                0.85073,                0.88515,                0.79336,                0.87695,                0.53485,                      0,                    inf,                      0,              0.0018325,              0.0018325,              0.0018325
                    101,                0.37762,                0.26435,                0.84237,                0.89759,                0.80882,                0.89858,                0.53293,                      0,                    inf,                      0,                0.00175,                0.00175,                0.00175
                    102,                0.35986,                 0.2539,                0.84403,                0.89694,                0.77941,                0.87725,                0.54109,                      0,                    inf,                      0,              0.0016675,              0.0016675,              0.0016675
                    103,                0.36607,                0.25733,                 0.8401,                0.89998,                0.83824,                0.90456,                0.55253,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                    104,                0.36278,                0.25567,                0.83515,                0.91441,                0.82353,                0.91089,                0.57068,                      0,                    inf,                      0,              0.0015025,              0.0015025,              0.0015025
                    105,                0.35395,                0.25428,                0.83765,                0.83192,                0.79412,                0.88392,                 0.5591,                      0,                    inf,                      0,                0.00142,                0.00142,                0.00142
                    106,                0.35352,                0.24987,                0.83394,                0.86477,                0.83824,                0.89625,                0.55527,                      0,                    inf,                      0,              0.0013375,              0.0013375,              0.0013375
                    107,                0.35398,                0.25611,                0.84099,                 0.9079,                0.76471,                0.88675,                0.54739,                      0,                    inf,                      0,               0.001255,               0.001255,               0.001255
                    108,                0.34902,                0.25257,                0.83247,                 0.9438,                   0.75,                0.89389,                0.55879,                      0,                    inf,                      0,              0.0011725,              0.0011725,              0.0011725
                    109,                0.33273,                0.23878,                0.83966,                0.94531,                0.76254,                0.89474,                0.55124,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                    110,                0.29574,                0.20983,                0.80017,                0.90897,                0.73425,                0.86336,                0.54335,                      0,                    inf,                      0,              0.0010075,              0.0010075,              0.0010075
                    111,                0.28175,                0.20185,                0.79682,                0.88357,                   0.75,                0.87518,                0.53927,                      0,                    inf,                      0,               0.000925,               0.000925,               0.000925
                    112,                0.27371,                 0.2026,                0.79529,                0.94195,                 0.7159,                0.87024,                0.53702,                      0,                    inf,                      0,              0.0008425,              0.0008425,              0.0008425
                    113,                0.27506,                0.19925,                0.80407,                0.92485,                   0.75,                0.88007,                0.57125,                      0,                    inf,                      0,                0.00076,                0.00076,                0.00076
                    114,                0.26955,                0.19747,                0.78659,                 0.8955,                0.75618,                0.88337,                0.57228,                      0,                    inf,                      0,              0.0006775,              0.0006775,              0.0006775
                    115,                0.26767,                0.19713,                 0.8056,                0.84473,                0.80013,                0.88591,                0.57932,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                    116,                0.25541,                 0.1862,                0.80051,                0.85852,                 0.8032,                0.88734,                0.57409,                      0,                    inf,                      0,              0.0005125,              0.0005125,              0.0005125
                    117,                0.25197,                 0.1859,                0.79401,                0.93925,                0.72059,                0.88168,                0.56527,                      0,                    inf,                      0,                0.00043,                0.00043,                0.00043
                    118,                0.25102,                0.18391,                0.78468,                0.89644,                 0.7638,                0.88142,                0.56105,                      0,                    inf,                      0,              0.0003475,              0.0003475,              0.0003475
                    119,                0.25008,                0.18506,                0.78926,                0.91183,                0.76043,                0.88178,                0.56717,                      0,                    inf,                      0,               0.000265,               0.000265,               0.000265
